CreatedDate,ProfileNo,OrganizationIdentificationID,Department Name,OrganizationActivityText,ReportingOfficerIdentificationID,InterventionIdentificationID,IdentificationCategoryDescriptionText,InterventionDate,Month,SubjectRaceCode,SubjectEthnicityCode,SubjectSexCode,SubjectAge,ResidentIndicator,TownRecidentIndicator,InterventionLocationName,InterventionLocationDescriptionText,InterventionLocationLatitude,InterventionLocationLongitude,InterventionReasonCode,InterventionTechniqueCode,InterventionDurationCode,TowedIndicator,StatuteCodeIdentificationID,ResonForStop,StatutatoryCitation,VehicleSearchedIndicator,SearchAuthorizationCode,ContrabandIndicator,CustodialArrestIndicator,InterventionDispositionCode,InterventionDispositionDate,InterventionDispositionReasonText,IsStatuteCodeValid,IsStatutatoryCitationValid,IsaTest,RecordCount,SourceId,SourceReferenceId,InterventionDateTime,InterventionTime
2/10/20 18:04,5040917,CT0008300,Middletown,Racial Profile,156,TS-2020018913,Incident ID,"Wednesday, 1 January 2020",January,W,N,M,23,True,True,Middletown,washington st,  ,  ,I,G,1,False,14-218a*,Speed Related,,False,N,False,False,W,,,,,False,1,CAPTAIN,CAPTAIN_146095,1/1/20 10:14,10:14:00
2/17/20 18:22,5053651,CT0008300,Middletown,Racial Profile,163,TS-2020018973,Incident ID,"Wednesday, 1 January 2020",January,W,N,M,24,True,True,Middletown,church st,  ,  ,V,G,1,False,14-12(a),Registration,,False,N,False,False,V,,,,,False,1,CAPTAIN,CAPTAIN_146347,1/1/20 8:16,08:16:00
4/6/20 18:10,5104813,CT0008300,Middletown,Racial Profile,220,TS-2020019013,Incident ID,"Wednesday, 1 January 2020",January,W,N,F,54,True,True,Middletown,west st,  ,  ,V,G,1,False,14-218a*,Speed Related,,False,N,False,False,V,,,,,False,1,CAPTAIN,CAPTAIN_147506,1/1/20 16:39,16:39:00
4/6/20 18:10,5104814,CT0008300,Middletown,Racial Profile,220,TS-2020019014,Incident ID,"Wednesday, 1 January 2020",January,W,N,M,55,True,True,Middletown,camp st,  ,  ,V,G,1,False,14-218a*,Speed Related,,False,N,False,False,V,,,,,False,1,CAPTAIN,CAPTAIN_147507,1/1/20 18:03,18:03:00
4/6/20 18:10,5104815,CT0008300,Middletown,Racial Profile,220,TS-2020019015,Incident ID,"Wednesday, 1 January 2020",January,B,N,M,49,True,True,Middletown,camp st,  ,  ,V,G,1,False,14-218a*,Speed Related,,False,N,False,False,V,,,,,False,1,CAPTAIN,CAPTAIN_147508,1/1/20 18:17,18:17:00
4/6/20 18:10,5104816,CT0008300,Middletown,Racial Profile,220,TS-2020019016,Incident ID,"Wednesday, 1 January 2020",January,W,N,F,20,True,True,Middletown,washingotn st,  ,  ,V,G,1,False,14-242,Moving Violation,,False,N,False,False,V,,,,,False,1,CAPTAIN,CAPTAIN_147510,1/1/20 18:30,18:30:00
4/6/20 18:10,5104817,CT0008300,Middletown,Racial Profile,220,TS-2020019017,Incident ID,"Wednesday, 1 January 2020",January,W,N,F,41,True,True,Middletown,ridgewood rd,  ,  ,V,G,1,False,14-218a*,Speed Related,,False,N,False,False,V,,,,,False,1,CAPTAIN,CAPTAIN_147511,1/1/20 19:57,19:57:00
4/6/20 18:10,5104818,CT0008300,Middletown,Racial Profile,220,TS-2020019018,Incident ID,"Wednesday, 1 January 2020",January,W,N,F,50,True,True,Middletown,ridgewood rd,  ,  ,V,G,1,False,14-218a*,Speed Related,,False,N,False,False,V,,,,,False,1,CAPTAIN,CAPTAIN_147512,1/1/20 20:43,20:43:00
5/11/20 18:06,5191091,CT0008300,Middletown,Racial Profile,3194,TS-2020019108,Incident ID,"Wednesday, 1 January 2020",January,W,N,F,29,True,True,Middletown,HARTFORD AVE / MAIN ST,  ,  ,E,G,1,False,14-96a(a),Defective Lights,,False,N,False,False,W,,,,,False,1,CAPTAIN,CAPTAIN_148329,1/1/20 21:02,21:02:00
5/11/20 18:06,5191092,CT0008300,Middletown,Racial Profile,3194,TS-2020019109,Incident ID,"Wednesday, 1 January 2020",January,A,N,M,41,True,True,Middletown,386 MAIN ST,  ,  ,V,G,1,False,14-236,Moving Violation,,False,N,False,False,V,,,,,False,1,CAPTAIN,CAPTAIN_148330,1/1/20 20:21,20:21:00
5/11/20 18:07,5191133,CT0008300,Middletown,Racial Profile,3290,TS-2020019151,Incident ID,"Wednesday, 1 January 2020",January,B,N,M,25,True,True,Middletown,WASHINGTON ST / WEST ST,  ,  ,V,G,2,True,14-12(a)*,Registration,,False,N,False,False,M,,,,,False,1,CAPTAIN,CAPTAIN_148417,1/1/20 2:14,02:14:00
2/3/20 18:11,5014001,CT0008300,Middletown,Racial Profile,156,TS-2020018885,Incident ID,"Thursday, 2 January 2020",January,W,N,F,41,False,True,Middletown,millbrook rd,  ,  ,V,G,1,False,14-218a*,Speed Related,,False,N,False,False,W,,,,,False,1,CAPTAIN,CAPTAIN_146025,1/2/20 10:53,10:53:00
2/3/20 18:11,5014002,CT0008300,Middletown,Racial Profile,156,TS-2020018886,Incident ID,"Thursday, 2 January 2020",January,W,N,F,50,True,True,Middletown,millbrook rd,  ,  ,V,G,1,False,14-218a*,Speed Related,,False,N,False,False,W,,,,,False,1,CAPTAIN,CAPTAIN_146027,1/2/20 11:14,11:14:00
